workspace,method,routePath,file,mountUnknown
"vyapar-backend","GET","/","apps/backend/server.js","YES - prefix not found, path may be incomplete"
"vyapar-backend","POST","/path","apps/backend/src/middleware/errormiddleware.js","YES - prefix not found, path may be incomplete"
"vyapar-backend","GET","/api/aging/","apps/backend/src/routes/agingRoutes.js",""
"vyapar-backend","GET","/api/approvals/","apps/backend/src/routes/approvalRoutes.js",""
"vyapar-backend","POST","/api/approvals/update","apps/backend/src/routes/approvalRoutes.js",""
"vyapar-backend","POST","/api/attendance/mark","apps/backend/src/routes/attendanceRoutes.js",""
"vyapar-backend","GET","/api/attendance/","apps/backend/src/routes/attendanceRoutes.js",""
"vyapar-backend","GET","/api/attendance/report/monthly","apps/backend/src/routes/attendanceRoutes.js",""
"vyapar-backend","POST","/api/auth/register","apps/backend/src/routes/authRoutes.js",""
"vyapar-backend","POST","/api/auth/login","apps/backend/src/routes/authRoutes.js",""
"vyapar-backend","POST","/api/auth/verify-otp","apps/backend/src/routes/authRoutes.js",""
"vyapar-backend","POST","/api/b2b/","apps/backend/src/routes/b2bRoutes.js",""
"vyapar-backend","GET","/api/b2b/","apps/backend/src/routes/b2bRoutes.js",""
"vyapar-backend","POST","/api/b2b/:id/convert","apps/backend/src/routes/b2bRoutes.js",""
"vyapar-backend","POST","/api/bank-rec/reconcile","apps/backend/src/routes/bankRecRoutes.js",""
"vyapar-backend","GET","/api/billing/export/csv","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","GET","/api/billing/pdf/:id","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/billing/parse-image","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/billing/nongst","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/billing/dispatch","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/billing/import","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/billing/","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","GET","/api/billing/","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","GET","/api/billing/:id","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","PUT","/api/billing/:id","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","DELETE","/api/billing/:id","apps/backend/src/routes/billingRoutes.js",""
"vyapar-backend","POST","/api/branch/","apps/backend/src/routes/branchRoutes.js",""
"vyapar-backend","GET","/api/branch/","apps/backend/src/routes/branchRoutes.js",""
"vyapar-backend","GET","/api/branch/:id","apps/backend/src/routes/branchRoutes.js",""
"vyapar-backend","GET","/api/brand/","apps/backend/src/routes/brandRoutes.js",""
"vyapar-backend","POST","/api/brand/","apps/backend/src/routes/brandRoutes.js",""
"vyapar-backend","PUT","/api/brand/:id","apps/backend/src/routes/brandRoutes.js",""
"vyapar-backend","DELETE","/api/brand/:id","apps/backend/src/routes/brandRoutes.js",""
"vyapar-backend","GET","/api/category/","apps/backend/src/routes/categoryRoutes.js",""
"vyapar-backend","POST","/api/category/","apps/backend/src/routes/categoryRoutes.js",""
