file,purpose,possibleIndirectReference,referencedAsStringIn
"apps/backend/seed.js","Load environment variables","",""
"apps/backend/src/config/firebase.js","Render me \n ko sahi se read karne ke liye replace karna padta hai","",""
"apps/backend/src/model/bankStatement.js","Unclassified","",""
"apps/desktop/dist_electron/win-unpacked/resources/app/main.cjs","Auto-updater के लिए लॉग्स चालू करें","YES - verify manually","apps/mobile/metro.config.js"
"apps/desktop/dist_electron/win-unpacked/resources/app/preload.js","Database Methods (React इन्ही को कॉल करेगा)","YES - verify manually","apps/desktop/dist_electron/win-unpacked/resources/app/main.cjs | apps/desktop/main.cjs"
"apps/desktop/main.cjs","Auto-updater के लिए लॉग्स चालू करें","YES - verify manually","apps/mobile/metro.config.js"
"apps/desktop/postcss.config.js","Config file","",""
"apps/desktop/preload.js","Database Methods (React इन्ही को कॉल करेगा)","YES - verify manually","apps/desktop/dist_electron/win-unpacked/resources/app/main.cjs | apps/desktop/main.cjs"
"apps/desktop/vite.config.js","https://vitejs.dev/config/","",""
"apps/mobile/ignoreWarnings.js","Suppress specific warnings that are known and non-critical.","",""
"apps/mobile/src/services/FeatureControlServices.js","This file is currently not used but kept for future feature control implementation.","",""
"apps/web/postcss.config.js","Config file","",""
"apps/website/eslint.config.js","Config file","",""
"apps/website/postcss.config.js","Config file","",""
"apps/website/vite.config.js","https://vite.dev/config/","",""
"packages/shared/src/models/ConsolidatedCreditStatementModel.js","Data model / schema","",""
"packages/shared/src/models/CouponModel.js","Data model / schema","",""
"packages/shared/src/models/ExpenseModel.js","Data model / schema","",""
"packages/shared/src/models/FeatureModel.js","Data model / schema","",""
"packages/shared/src/models/InvoiceModel.js","Data model / schema","",""
"packages/shared/src/models/ProductModel.js","Data model / schema","",""
"packages/shared/src/models/userModel.js","Data model / schema","",""
