file,vyapar-backend,red-accounting-desktop,mobile-inventory-app,business-accounting-app,website,usedByAnyApp
"packages/shared/src/accounting/index.js","","YES","YES","YES","","YES"
"packages/shared/src/accounting/invoice/calculateInvoice.js","","YES","YES","YES","","YES"
"packages/shared/src/accounting/money/rounding.js","","YES","YES","YES","","YES"
"packages/shared/src/accounting/purchase/calculatePurchase.js","","YES","YES","YES","","YES"
"packages/shared/src/accounting/tax/gstRules.js","","YES","YES","YES","","YES"
"packages/shared/src/accounting/tax/taxCalculator.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/apiRoutes.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/businessModules.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/businessTypes.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/config.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/defaultFeatures.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/roles.js","","YES","YES","YES","","YES"
"packages/shared/src/constant/taxRate.js","","YES","YES","YES","","YES"
"packages/shared/src/hooks/useAuth.js","","YES","YES","YES","","YES"
"packages/shared/src/hooks/usefeatureControl.js","","YES","YES","YES","","YES"
"packages/shared/src/hooks/useSync.js","","YES","YES","YES","","YES"
"packages/shared/src/index.js","","YES","YES","YES","","YES"
"packages/shared/src/models/ConsolidatedCreditStatementModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/CouponModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/ExpenseModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/FeatureModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/InvoiceModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/ProductModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/models/userModel.js","","","","","","NO - unused by all apps"
"packages/shared/src/services/api.js","","YES","YES","YES","","YES"
"packages/shared/src/services/api.native.js","","","YES","","","YES"
"packages/shared/src/services/cloudApi.js","","YES","YES","YES","","YES"
"packages/shared/src/services/index.js","","","","","","NO - unused by all apps"
"packages/shared/src/services/KeyManager.js","","YES","YES","YES","","YES"
"packages/shared/src/services/schemeEngine.js","","YES","YES","YES","","YES"
"packages/shared/src/services/securityTracker.js","","YES","YES","YES","","YES"
"packages/shared/src/services/sync.js","","YES","YES","YES","","YES"
"packages/shared/src/services/syncqueue.js","","YES","YES","YES","","YES"
"packages/shared/src/services/syncqueue.native.js","","","YES","","","YES"
"packages/shared/src/services/whatsapp.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/cloudAuth.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/currency.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/dateFormatter.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/encryption.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/logger.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/useOfflineMode.js","","YES","YES","YES","","YES"
"packages/shared/src/utils/validators.js","","YES","YES","YES","","YES"
